"","O01","O04","O06","O10","O100","O101","O102","O103","O106","O118","O121","O124","O128","O131","O137","O14","O140","O145","O147","O17","O21","O22","O24","O26","O30","O31","O32","O35","O40","O43","O46","O51","O52","O56","O64","O71","O78","O90","O91","O96","O99"
" ELGLNNDITNMNGGAIALGHPLAASGTR y10",0.0009040165,0.0003258585,0,0.000634633,0,0.0006613535,0.000638007,0,0.0005885255,0.0007352005,0.0010121585,0.001032561,0,0.0006271675,0.0006830735,0,0.0011505365,0,0.0009137295,0.000507908,0.00043687,0,0,0.0008424975,0.0006719265,0.0006722305,0.0005542035,0.001053338,0.0007435605,0,0,0.000402312,0,0,0,0,0.000825647,0.000348625,0.000813527,0.0005803975,0
" ELGLNNDITNMNGGAIALGHPLAASGTR y12",0.0006240165,0.000254548,0,0.0003313475,0,0.0005003455,0.0003756285,0,0.0004843475,0.0005394175,0.000486393,0,0,0.000356563,0.000456417,0,0,0,0.000608208,0.0003769245,0,0,0.000456552,0.0004447285,0.0004577265,0.0003373375,0,0.0004714055,0,0,0.0004244795,0,0,0.000419718,0.0003806825,0,0.0005670105,0,0.0005161735,0.000358057,0.0004384015
" ELGLNNDITNMNGGAIALGHPLAASGTR y8",0.001632471,0.0005502735,0.000956661,0.001059223,0.0005949035,0.0011802855,0,0,0.001016323,0.001529479,0,0.001682322,0,0.000978065,0.001214708,0,0.0019324965,0,0.00179959,0.0008134035,0,0.001027473,0,0,0.0012308075,0.000993155,0.0009171985,0.0017852875,0.001167121,0.0008702925,0.001188245,0.0007025615,0,0.0012333685,0,0,0.001316301,0.0006439395,0.0014350315,0.0009043535,0.001098465
" ITGHLAHELQR y5",0.00050178,0.0004146825,0,0.000495032,0.000381803,0.000468823,0.000566123,0,0,0.0005378845,0.0009205165,0.0007893775,0,0,0.000380843,0,0.001207353,0.0006195245,0,0.0003519855,0.00037045,0.000534505,0,0.0003225625,0.0004860885,0.0003339745,0,0,0.0004985255,0.00023481,0,0.000291494,0,0,0,0,0.000667746,0.0001249535,0.000623075,0.0003792205,0
" ITGHLAHELQR y6",0.00144781,0.0010302815,0.0008565625,0.0013005975,0,0.001250661,0.001391334,0,0.0013091925,0.0014384465,0.002370683,0.001853121,0.0011664295,0.0011939105,0.0010928525,0,0.002709229,0,0.001559798,0.000839457,0.00078574,0.0014379595,0.000909609,0.0009288205,0,0.000808453,0.001106132,0,0.0011041425,0.0006393545,0,0,0,0.0013438125,0.001318342,0,0,0,0.0017157225,0.0009131505,0
" ITGHLAHELQR y7",0.0009771545,0.0008141395,0,0.0009090465,0,0.00097983,0,0,0.0010578655,0.0009660445,0.001795484,0.0012805305,0.001025429,0,0.000852067,0,0.001997811,0.001165931,0.0010330895,0.0006408695,0.000581334,0.001009778,0.0005555675,0.000674501,0.000941868,0.000600193,0,0,0.0008005995,0,0.0006321465,0.000651734,0,0.0008628775,0,0,0.0011278025,0.0002866665,0.0011641205,0.000675301,0
" QYNLTPLAR y4",0.0086262175,0.0039879005,0,0.0049598575,0.0045659575,0.007367888,0.0066113665,0.0089237695,0.007637018,0.008553596,0.012340112,0.0033837245,0,0.006421646,0.0047310865,0,0.0125972325,0,0.0060706975,0.0055336895,0.0039912025,0.0048648625,0.004595942,0.002739788,0.009166647,0.004126774,0.007671722,0.011355077,0.004887219,0.0057147375,0.0048788915,0.0035454845,0,0.0043588035,0.008956712,0.0068023725,0.0103916975,0.0014859905,0,0.002069775,0.002304254
" QYNLTPLAR y5",0.0082540985,0.0038488155,0.0018395645,0.004792787,0.00403434,0.007137191,0.0066394565,0.008243485,0.0075591335,0.0085962465,0.0118884565,0.003142134,0,0.0062331835,0.004537709,0,0.0128642375,0,0.006216312,0.0058994485,0.004096951,0.00459103,0.0042563,0.002499642,0.008719762,0.004190788,0.00733394,0.010943417,0.0045964975,0.005417029,0.0046244485,0.0038619615,0,0.004303463,0.0088836405,0.006237028,0.010479108,0.001395,0,0.002074769,0.002483637
" QYNLTPLAR y6",0.003837342,0.0016642615,0.0009099785,0.0020192245,0,0.0029744525,0,0,0.0031410515,0.003568795,0.005173854,0,0,0.002899281,0.0020468185,0,0.0055553855,0,0.0027704905,0.0022927585,0.00181985,0.0021458495,0,0,0.003907231,0.001654268,0.003241811,0.0043599225,0.0019108365,0.002330656,0.0021913575,0.0015597035,0,0.0018025805,0.004179959,0.0024712465,0.004073335,0.0006917365,0.0039856175,0.001049987,0.001075945
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y4",0.0117465455,0.0108980855,0.0091913025,0.010419823,0.0105590095,0.0118879045,0,0,0.0108731285,0.010519487,0.018355568,0.014904091,0,0.011577906,0,0,0.0215235675,0,0.014906844,0.0079421355,0,0,0.0104016955,0.0091447355,0,0.0110651315,0.007837434,0,0.007378882,0.008365775,0.010934019,0.00695021,0,0.0085240375,0.011239623,0,0.012052889,0.005865128,0.014118653,0.0070249265,0.0106831615
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y5",0.0083603515,0.007519465,0,0.007562672,0.007407751,0.008291516,0.009071797,0,0.0076442385,0,0.0122597655,0.0107204035,0,0.007982537,0.008670109,0,0.0162120985,0.010205191,0.010121403,0.0054720415,0.004845353,0,0.007385132,0.0067794915,0,0.0080538315,0,0,0,0.005831718,0.007861476,0.0053074015,0.003455532,0.006013512,0.0081252445,0,0,0.004095408,0.010131732,0.005052897,0.007573245
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VNSGELFGK y6",0.030610281,0.0273006945,0,0.0259343295,0.0262832965,0.029160506,0.033157149,0,0.0288545675,0.0271713985,0.0445256355,0.036891777,0,0.0291334925,0,0,0.0524546155,0,0.0351132855,0.01943602,0.0168858505,0,0.0260429125,0.0234103175,0,0.0294268345,0.0208069575,0.0049359995,0,0.021591082,0.0277351105,0.0188969105,0,0.021831635,0.02884568,0,0.0300096915,0.0153561885,0.033676222,0.0190499915,0.026753784
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y4",0.0082572365,0,0.0045141905,0.004457773,0,0.0053106475,0,0,0.0052102015,0.00509161,0,0,0,0.005749031,0,0,0,0,0,0.0034150455,0,0.0095857595,0,0.006498821,0,0,0,0,0.007057221,0,0,0.003468748,0,0.00342681,0,0,0,0.004827541,0,0.002722088,0
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y5",0.0187858545,0,0.0096149435,0.010624315,0,0,0,0,0.0119057775,0.0112499235,0,0.018072039,0,0.0129856735,0,0,0,0,0.0119210775,0.0071666465,0,0,0.0182150805,0,0,0.0122000905,0.012837027,0,0.0161058735,0,0,0.0075028325,0,0.0080859005,0.02027415,0,0,0.011024394,0,0.0065298995,0
"CHOYP_BRAFLDRAFT_119799.1.1|m.23765 VPAVDLFEK y6",0.036999953,0,0.0200025945,0.0208177075,0,0,0,0,0.0236930195,0.0212273865,0,0.0364135225,0,0.0269537955,0,0,0.055127038,0,0.024540822,0.014707113,0,0,0.0362613335,0.0295711625,0,0.0244165865,0,0,0.031689224,0,0,0.015443527,0,0.0166319595,0.0395176235,0,0,0.022176632,0,0.0125405015,0
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y11",0,0.0004354205,0,0.00040517,0,0.0003798515,0.000305747,0,0,0.0005625145,0.000605514,0.0005789025,0,0.0004460445,0,0,0.0008349955,0,0,0.000123861,0.000109393,0.000430439,0,0.0002293915,0,0.000186241,0.0002611275,5.38e-05,0,0.000122702,0.000184445,0.0002113715,0,0.0002779575,0,0,0,5.705e-05,0.0004833495,0.0001047875,0
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y8",0.0037335245,0,0,0.0027543665,0.000631671,0.0027055935,0.0022984055,0,0.0024246865,0.003634608,0.0044397105,0.004258691,0,0.003779401,0.0026535985,0,0,0.004394714,0.0028297095,0.001094898,0,0.003169974,0.001544165,0.001446065,0,0.0016572045,0.001998221,0.000447659,0.0014950895,0,0,0.0016190945,0,0.0019875395,0.0016308535,0,0,0,0,0.0011220605,0.0018480785
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 DAIQDYIGSLNWGYR y9",0.0017020375,0.0012975865,0.000924245,0.001292533,0.0002999925,0.001148397,0.001090386,0,0.0011412625,0.0017132505,0.002087322,0.0017398915,0,0.001868829,0.00105472,0,0.002382793,0.0020750725,0.001281279,0.000560134,0,0.001421371,0,0.00063434,0,0,0.0009117815,0.000229052,0.00063201,0.000573232,0,0.0007153455,0,0.0009143505,0.000809957,0,0.0018002045,0,0,0,0.0009454585
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y6",0,0.000990052,0.0011276275,0.001221554,0,0.0016964815,0,0,0.0012614325,0.001995593,0.0019605485,0,0,0.0019306875,0.0014069895,0,0.00303415,0,0.001687627,0.000965435,0.0009107895,0.001381167,0.001235041,0.0015422105,0.001477026,0.0011453415,0.001311135,0,0.001095843,0,0,0.0008788295,0.000469842,0.00107747,0.0016435555,0,0.0017811985,0,0.0015423325,0.0009874385,0
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y7",0.005070925,0,0,0.00276531,0,0.003867078,0,0,0.0024972115,0.00425354,0.0039347815,0.0052250025,0,0.0038914225,0.0033781795,0,0.0060358055,0,0.003603437,0.0020903345,0.0018035065,0.0031458835,0.002564716,0.0029593025,0.003220931,0.002522692,0.002895903,0.001773866,0,0,0,0.0022061315,0,0.0022724805,0.002987748,0,0.0045090165,0.0009779605,0,0.002122992,0.0027648945
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 IGDYMEVEGVK y8",0.0032876465,0,0.001784144,0.00207147,0.0013185855,0,0,0,0.0020728435,0.0030749265,0.003298083,0.0038192055,0,0.0028861015,0.0026239605,0,0.004481933,0,0.0026145185,0.001286398,0,0.002362585,0,0.0019853365,0,0.0018803145,0.002167164,0.0014550325,0.001703868,0,0.002183735,0.0015379755,0,0,0.0024030465,0,0.0031384305,0,0.0024926905,0,0.0017347165
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y5",0.001118372,0.0005248885,0.000459843,0.0006803535,0,0.0007650935,0,0.0010106425,0.000602014,0,0.001046291,0.0010547725,0,0.0010263205,0,0,0.001303441,0,0.000978914,0.0003049175,0,0.000793056,0,0,0.000858402,0.0005558485,0.0005667215,0.0007406155,0.0004858575,0,0,0.000404575,0,0,0,0,0,0.000213345,0.0008308275,0,0.0005601925
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y7",0.0043302575,0.001989076,0.0022087905,0.002998587,0,0.003254894,0,0,0.002472508,0.004766286,0.004479985,0,0,0.004378839,0.003034397,0,0.0064610765,0,0.0034031315,0.0014044895,0.0008965235,0.003507561,0,0.0020970875,0.003193577,0.0025671365,0,0.0029708165,0.0017958775,0.0014864735,0.002119386,0.002365998,0,0.002487787,0.002414487,0,0,0.000747879,0.00396573,0.001449125,0.00243347
"CHOYP_BRAFLDRAFT_122807.1.1|m.3729 VIGLHVLGPNAGEITQGYAVAMR y9",0.0030044495,0.001341975,0.001363701,0.0017674025,0.0007147865,0.0020982185,0.001878367,0,0.001707819,0.0029606855,0.002799847,0.0030223515,0,0.002976992,0.0019895575,0,0.0038468395,0,0.00230406,0,0,0.0022907875,0,0.0015231955,0.002058041,0.001538336,0.001485499,0.001955888,0.0010975125,0,0.0013859345,0.0014118625,0,0.0015969715,0,0,0.002647445,0.000521865,0.002487633,0.0009687025,0.001495693
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y5",0.0018052225,0.0004689185,0,0.000988466,0.000994832,0.0010519615,0.0009617155,0.0013526435,0.0006917925,0.001437337,0.0015808825,0.0014241005,0,0.0008853715,0,0,0.002456839,0.001454008,0.0011329105,0.000803459,0.000500308,0.0012170685,0,0.0009559145,0,0.000649654,0,0,0,0,0.0007575235,0.0005815585,0,0.0005877715,0.0009199465,0,0.0009544275,0,0.0010059385,0.0006567345,0.000894304
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y7",0.0055174475,0.001771342,0.002634836,0.00295829,0,0,0.0027922255,0.0035306855,0.002783199,0.004051771,0.005299735,0.00510452,0,0.0034471535,0,0,0.0075877215,0.0049185335,0.002969639,0.0023866985,0,0.0041598205,0,0.00228513,0,0.0019626145,0.002014129,0,0,0,0.0021219365,0.0018947755,0,0.001567534,0.0029955245,0,0.0027569365,0.000834569,0.002467887,0.001590839,0
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 GMPEMVSGEDK y8",0.0018439345,0.0004654675,0,0.000924948,0,0.0011971705,0.0011305385,0,0.00074112,0.0015486215,0.0015654935,0.0018418635,0,0,0.0013757985,0,0.0025115815,0.0018038635,0.001126934,0.0008901095,0,0.0016026,0.0008045965,0.0009400355,0,0.0009195545,0.0009226745,0,0.000580976,0,0,0,0.0002176175,0.000745192,0.001075761,0,0.0012318795,0.0003576805,0.0010854875,0.0006933615,0.001067007
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y4",0.002462986,0.0022963825,0,0.0018895355,0,0.001900092,0.0020189495,0,0.0017073965,0.002155149,0,0,0,0.0021172545,0.0019857955,0,0.003417727,0,0.002062666,0.0014557215,0,0.002531383,0.0016640025,0.001411943,0,0.0016326715,0.0018299895,0.0010955395,0.0013922275,0.001458014,0.0014360015,0.0013619515,0,0.0012070495,0.0019999055,0,0.002085416,0.00085183,0,0.001525321,0
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y5",0.0060290165,0.006001555,0,0.0047270095,0,0.004397873,0,0.0046431345,0.004007499,0.005081778,0.0070883655,0.00598137,0,0.0057949455,0.004943306,0,0.0078976485,0,0.004274717,0.0034183465,0,0.006280003,0.0044777635,0.0036235365,0.0050461685,0.0030039335,0.0043948035,0.0023994655,0.0031899145,0,0,0.003168511,0.0027443025,0.0028592865,0.0039508735,0.0044133885,0,0.001827972,0,0,0.005101884
"CHOYP_BRAFLDRAFT_275870.1.1|m.12895 TGFLQLDEK y6",0.01131178,0.010196981,0,0.008505593,0,0.00826155,0,0,0.008021094,0.0095154305,0.0124679805,0.0105157365,0,0.010649919,0.0086820695,0,0.0141785645,0,0.008204939,0.0061402055,0,0.0110801105,0.0080518095,0.0068089395,0.0097153605,0.006224638,0.0078842365,0,0.006106637,0.0061763835,0,0.005826563,0,0.0055085525,0.0073664675,0,0.009034936,0.0035166435,0,0.006226534,0.008487163
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y4",0.0013542855,0.001142278,0,0.001778447,0.0010510515,0.0018689975,0.0013382205,0.0031863755,0.00196485,0.0013032565,0.00309889,0.0017414805,0,0.001485834,0.001596933,0,0.003636284,0.002550957,0.0022177175,0.0014893155,0.002808153,0.0026617055,0.002798954,0.001741026,0.0035340855,0.000984893,0.0031549545,0.00153525,0.003174791,0.0015012755,0.002065567,0.0015699135,0,0.0017746505,0.002301675,0.002963513,0.0031225215,0.0009006645,0.002008945,0.000981818,0.0048961675
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y5",0.00973322,0.0083596325,0.013339558,0.012815827,0.0064183125,0.0117503695,0.01059488,0.0212043425,0.0155095985,0.008882577,0.023254459,0.0131249865,0.021287714,0.0094722255,0.011852078,0.0191528415,0.0231480905,0.018490208,0.016704936,0.011447052,0.019930794,0.0187392355,0.0216974095,0.013321498,0.025197885,0.0059479285,0.020711715,0.0111388315,0.0227786415,0.010432326,0.013967065,0.0117285305,0.010229452,0.0153000275,0.018151629,0.0220094175,0.0215318605,0.00531021,0.015419149,0.007265265,0
"CHOYP_CAH2.1.1|m.42306 IQEAGSSVK y6",0.0223360185,0.0185713995,0.029298782,0.0285890535,0.014142858,0.0270056455,0.0230623805,0.0451985495,0.0334406925,0.0187359805,0.048496732,0.0275130325,0.044326799,0.0208803435,0.0259348475,0.042192344,0.049765287,0.037900527,0.035246149,0.02509577,0.0428867195,0.0385752145,0.046086646,0.0282211075,0.0530692145,0.013577634,0.045868611,0.023780878,0.0488059285,0.0227306745,0.029334473,0.02480666,0.0223637475,0.0343828045,0.0392078165,0.0454771065,0.045784918,0.011979557,0.0304415985,0.0162666945,0.066322926
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y7",0.0084240515,0.0049473625,0,0.005809491,0.00649329,0.008385427,0.005599326,0,0.0072945355,0.0095185745,0.0132667415,0.01006828,0,0.005591366,0.007463951,0,0.0172883445,0,0.012964109,0.0059358495,0.0085569965,0.008087102,0.010543584,0.00892082,0.0135416075,0.004517268,0.012637057,0.0083750255,0.009690384,0.004803403,0,0.007947436,0,0.0086194805,0.011107204,0,0.0134030165,0.0035014805,0.005524238,0.00360154,0
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y8",0.0726592505,0.044655517,0,0.055027804,0.060995772,0.0741666925,0.047866647,0,0.064048304,0.083178149,0.1153321655,0.086182484,0,0.0486600985,0.0686825585,0,0.156514923,0.091041963,0.114171221,0.055550878,0.0769921,0.074370737,0.0945697225,0.080282262,0.125075431,0.042683382,0.110212894,0.0785506805,0.0887999265,0.0432198275,0,0.0744330305,0,0.0767591325,0.100481015,0,0.122300086,0.0329937415,0.051944629,0.03096837,0
"CHOYP_CAH2.1.1|m.42306 NAEVSNTGSSIK y9",0.062572588,0.038653333,0,0.0485337685,0.0531001525,0.0634411815,0.042752137,0,0.0563198905,0.072468819,0.097751674,0.073457647,0,0.0431952385,0.059223694,0,0.13005524,0.0789592795,0.097740929,0.048915565,0.066524836,0.0653584785,0.0817706655,0.069338933,0.1066216375,0.0383338995,0.0951118105,0.069119183,0.076739471,0.0392007605,0.0766064105,0.064859801,0,0.0660807175,0.0870155815,0,0.104577523,0.0291709675,0.0456363385,0.0277445925,0.091200153
